#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 118000      2.25e+00    2.08e+00      3.08e-03    2.61e-03      1.28e-01    1.18e-01    3.1e-04
 119000      2.20e+00    2.16e+00      1.45e-02    1.44e-02      1.25e-01    1.23e-01    3.1e-04
 120000      2.29e+00    1.95e+00      6.22e-03    6.22e-03      1.34e-01    1.14e-01    2.9e-04
 121000      1.51e+00    2.44e+00      8.95e-03    8.93e-03      8.81e-02    1.42e-01    2.9e-04
 122000      2.15e+00    1.72e+00      6.42e-03    5.28e-03      1.26e-01    1.01e-01    2.9e-04
 123000      1.99e+00    2.02e+00      8.92e-03    8.70e-03      1.16e-01    1.18e-01    2.9e-04
 124000      2.17e+00    1.81e+00      6.15e-03    7.14e-03      1.27e-01    1.06e-01    2.9e-04
 125000      1.66e+00    1.91e+00      2.75e-03    2.32e-03      9.93e-02    1.15e-01    2.8e-04
 126000      2.07e+00    2.20e+00      1.22e-03    9.52e-04      1.24e-01    1.32e-01    2.8e-04
 127000      2.16e+00    1.71e+00      3.14e-03    3.93e-03      1.29e-01    1.02e-01    2.8e-04
 128000      1.80e+00    2.24e+00      8.61e-03    8.28e-03      1.08e-01    1.34e-01    2.8e-04
 129000      1.64e+00    1.89e+00      7.00e-03    7.42e-03      9.81e-02    1.13e-01    2.8e-04
 130000      1.74e+00    2.14e+00      9.68e-03    9.96e-03      1.07e-01    1.31e-01    2.6e-04
 131000      2.17e+00    1.59e+00      6.29e-04    5.32e-04      1.33e-01    9.77e-02    2.6e-04
 132000      2.01e+00    1.66e+00      1.13e-02    1.12e-02      1.24e-01    1.02e-01    2.6e-04
 133000      1.72e+00    1.81e+00      6.30e-03    6.64e-03      1.06e-01    1.11e-01    2.6e-04
 134000      2.03e+00    1.47e+00      1.98e-03    2.33e-03      1.25e-01    9.03e-02    2.6e-04
 135000      2.05e+00    1.71e+00      6.44e-03    6.21e-03      1.29e-01    1.08e-01    2.5e-04
 136000      1.76e+00    1.91e+00      5.73e-03    6.24e-03      1.11e-01    1.20e-01    2.5e-04
 137000      1.68e+00    1.52e+00      1.59e-02    1.54e-02      1.06e-01    9.60e-02    2.5e-04
 138000      1.78e+00    1.36e+00      9.71e-04    1.04e-03      1.12e-01    8.56e-02    2.5e-04
 139000      2.21e+00    2.30e+00      4.75e-03    5.20e-03      1.40e-01    1.45e-01    2.5e-04
 140000      1.97e+00    1.80e+00      1.05e-02    1.03e-02      1.28e-01    1.16e-01    2.4e-04
 141000      2.02e+00    1.99e+00      6.64e-03    6.55e-03      1.31e-01    1.29e-01    2.4e-04
 142000      1.79e+00    1.75e+00      2.40e-03    2.51e-03      1.16e-01    1.14e-01    2.4e-04
 143000      2.04e+00    1.94e+00      3.71e-03    3.93e-03      1.32e-01    1.26e-01    2.4e-04
 144000      1.59e+00    2.06e+00      5.07e-03    5.03e-03      1.03e-01    1.33e-01    2.4e-04
 145000      1.65e+00    1.28e+00      8.63e-03    9.01e-03      1.09e-01    8.48e-02    2.3e-04
 146000      1.60e+00    1.83e+00      7.68e-03    7.90e-03      1.06e-01    1.22e-01    2.3e-04
 147000      1.94e+00    2.05e+00      1.47e-03    1.06e-03      1.29e-01    1.36e-01    2.3e-04
 148000      1.51e+00    2.25e+00      2.52e-04    6.08e-04      1.00e-01    1.49e-01    2.3e-04
 149000      1.74e+00    1.73e+00      5.86e-03    6.36e-03      1.16e-01    1.15e-01    2.3e-04
 150000      1.73e+00    1.56e+00      6.44e-03    6.35e-03      1.18e-01    1.06e-01    2.1e-04
 151000      1.70e+00    1.58e+00      8.46e-04    1.11e-03      1.16e-01    1.07e-01    2.1e-04
 152000      1.61e+00    1.05e+00      9.18e-04    1.46e-03      1.10e-01    7.17e-02    2.1e-04
 153000      1.71e+00    2.08e+00      1.24e-03    5.13e-04      1.17e-01    1.42e-01    2.1e-04
 154000      1.78e+00    1.55e+00      6.08e-03    5.75e-03      1.21e-01    1.06e-01    2.1e-04
 155000      1.41e+00    1.92e+00      8.41e-03    8.38e-03      9.88e-02    1.34e-01    2.0e-04
 156000      1.59e+00    1.43e+00      3.72e-03    3.72e-03      1.11e-01    9.98e-02    2.0e-04
